Profile,Height,Width,Web,Flange,Radius_1,Radius_2
SHS 260 / 12.5,260,260,12.5,12.5,18.8,12.5
SHS 260 / 14.2,260,260,14.2,14.2,21.3,14.2
SHS 260 / 16,260,260,16,16,24,16
SHS 300 / 6.3,300,300,6.3,6.3,9.4,6.3
SHS 300 / 8,300,300,8,8,12,8
SHS 300 / 10,300,300,10,10,15,10
SHS 300 / 12.5,300,300,12.5,12.5,18.8,12.5
SHS 300 / 14.2,300,300,14.2,14.2,21.3,14.2
SHS 300 / 16,300,300,16,16,24,16
SHS 350 / 8,350,350,8,8,12,8
SHS 350 / 10,350,350,10,10,15,10
SHS 350 / 12.5,350,350,12.5,12.5,18.8,12.5
SHS 350 / 14.2,350,350,14.2,14.2,21.3,14.2
SHS 350 / 16,350,350,16,16,24,16
SHS 400 / 10,400,400,10,10,15,10
SHS 400 / 12.5,400,400,12.5,12.5,18.8,12.5
SHS 400 / 14.2,400,400,14.2,14.2,21.3,14.2
SHS 400 / 16,400,400,16,16,24,16
SHS 400 / 20,400,400,20,20,30,20
RHS 100x50 / 4,100,50,4,,6,4
RHS 100x50 / 5,100,50,5,,7.5,5
RHS 100x50 / 6.3,100,50,6.3,,9.4,6.3
RHS 100x50 / 8,100,50,8,,12,8
RHS 100x60 / 3.2,100,60,3.2,,4.8,3.2
RHS 100x60 / 4,100,60,4,,6,4
RHS 100x60 / 5,100,60,5,,7.5,5
RHS 100x60 / 6.3,100,60,6.3,,9.4,6.3
RHS 100x60 / 8,100,60,8,,12,8
RHS 120x60 / 4,120,60,4,,6,4
RHS 120x60 / 5,120,60,5,,7.5,5
RHS 120x60 / 6.3,120,60,6.3,,9.4,6.3
RHS 120x60 / 8,120,60,8,,12,8
RHS 120x60 / 10,120,60,10,,15,10
RHS 120x80 / 4,120,80,4,,6,4
RHS 120x80 / 5,120,80,5,,7.5,5
RHS 120x80 / 6.3,120,80,6.3,,9.4,6.3
RHS 120x80 / 8,120,80,8,,12,8
RHS 120x80 / 10,120,80,10,,15,10
RHS 140x80 / 4,140,80,4,,6,4
RHS 140x80 / 5,140,80,5,,7.5,5
RHS 140x80 / 6.3,140,80,6.3,,9.4,6.3
RHS 140x80 / 8,140,80,8,,12,8
RHS 140x80 / 10,140,80,10,,15,10
RHS 150x100 / 4,150,100,4,,6,4
RHS 150x100 / 5,150,100,5,,7.5,5
RHS 150x100 / 6.3,150,100,6.3,,9.4,6.3
RHS 150x100 / 8,150,100,8,,12,8
RHS 150x100 / 10,150,100,10,,15,10
RHS 150x100 / 12.5,150,100,12.5,,18.8,12.5
RHS 160x80 / 4,160,80,4,,6,4
RHS 160x80 / 5,160,80,5,,7.5,5
RHS 160x80 / 6.3,160,80,6.3,,9.4,6.3
RHS 160x80 / 8,160,80,8,,12,8
RHS 160x80 / 10,160,80,10,,15,10
RHS 160x80 / 12.5,160,80,12.5,,18.8,12.5
RHS 180x100 / 4,180,100,4,,6,4
RHS 180x100 / 5,180,100,5,,7.5,5
RHS 180x100 / 6.3,180,100,6.3,,9.4,6.3
RHS 180x100 / 8,180,100,8,,12,8
RHS 180x100 / 10,180,100,10,,15,10
RHS 180x100 / 12.5,180,100,12.5,,18.8,12.5
RHS 200x100 / 4,200,100,4,,6,4
RHS 200x100 / 5,200,100,5,,7.5,5
RHS 200x100 / 6.3,200,100,6.3,,9.4,6.3
RHS 200x100 / 8,200,100,8,,12,8
RHS 200x100 / 10,200,100,10,,15,10
RHS 200x100 / 12.5,200,100,12.5,,18.8,12.5
RHS 200x100 / 16,200,100,16,,24,16
RHS 200x120 / 6.3,200,120,6.3,,9.4,6.3
RHS 200x120 / 8,200,120,8,,12,8
RHS 200x120 / 10,200,120,10,,15,10
RHS 200x120 / 12.5,200,120,12.5,,18.8,12.5
RHS 250x150 / 6.3,250,150,6.3,,9.4,6.3
RHS 250x150 / 8,250,150,8,,12,8
RHS 250x150 / 10,250,150,10,,15,10
RHS 250x150 / 12.5,250,150,12.5,,18.8,12.5
RHS 250x150 / 14.2,250,150,14.2,,21.3,14.2
RHS 250x150 / 16,250,150,16,,24,16
RHS 260x180 / 6.3,260,180,6.3,,9.4,6.3
RHS 260x180 / 8,260,180,8,,12,8
RHS 260x180 / 10,260,180,10,,15,10
RHS 260x180 / 12.5,260,180,12.5,,18.8,12.5
RHS 260x180 / 14.2,260,180,14.2,,21.3,14.2
RHS 260x180 / 16,260,180,16,,24,16
RHS 300x200 / 6.3,300,200,6.3,,9.4,6.3
RHS 300x200 / 8,300,200,8,,12,8
RHS 300x200 / 10,300,200,10,,15,10
RHS 300x200 / 12.5,300,200,12.5,,18.8,12.5
RHS 300x200 / 14.2,300,200,14.2,,21.3,14.2
RHS 300x200 / 16,300,200,16,,24,16
RHS 350x250 / 6.3,350,250,6.3,,9.4,6.3
RHS 350x250 / 8,350,250,8,,12,8
RHS 350x250 / 10,350,250,10,,15,10
RHS 350x250 / 12.5,350,250,12.5,,18.8,12.5
RHS 350x250 / 14.2,350,250,14.2,,21.3,14.2
RHS 350x250 / 16,350,250,16,,24,16
RHS 400x200 / 8,400,200,8,,12,8
RHS 400x200 / 10,400,200,10,,15,10
RHS 400x200 / 12.5,400,200,12.5,,18.8,12.5
RHS 400x200 / 14.2,400,200,14.2,,21.3,14.2
RHS 400x200 / 16,400,200,16,,24,16
RHS 450x250 / 8,450,250,8,,12,8
RHS 450x250 / 10,450,250,10,,15,10
RHS 450x250 / 12.5,450,250,12.5,,18.8,12.5
RHS 450x250 / 14.2,450,250,14.2,,21.3,14.2
RHS 450x250 / 16,450,250,16,,24,16
RHS 500x300 / 10,500,300,10,,15,10
RHS 500x300 / 12.5,500,300,12.5,,18.8,12.5
RHS 500x300 / 14.2,500,300,14.2,,21.3,14.2
RHS 500x300 / 16,500,300,16,,24,16
RHS 500x300 / 20,500,300,20,,30,20
CHS 21.3 / 2.3,21.3,0,2.3,,,
CHS 21.3 / 2.6,21.3,0,2.6,,,
CHS 21.3 / 3.2,21.3,0,3.2,,,
CHS 26.9 / 2.3,26.9,0,2.3,,,
CHS 26.9 / 2.6,26.9,0,2.6,,,
CHS 26.9 / 3.2,26.9,0,3.2,,,
CHS 33.7 / 2.6,33.7,0,2.6,,,
CHS 33.7 / 3.2,33.7,0,3.2,,,
CHS 33.7 / 4,33.7,0,4,,,
CHS 42.4 / 2.6,42.4,0,2.6,,,
CHS 42.4 / 3.2,42.4,0,3.2,,,
CHS 42.4 / 4,42.4,0,4,,,
CHS 48.3 / 2.6,48.3,0,2.6,,,
CHS 48.3 / 3.2,48.3,0,3.2,,,
CHS 48.3 / 4,48.3,0,4,,,
CHS 48.3 / 5,48.3,0,5,,,
CHS 60.3 / 2.6,60.3,0,2.6,,,
CHS 60.3 / 3.2,60.3,0,3.2,,,
CHS 60.3 / 4,60.3,0,4,,,
CHS 60.3 / 5,60.3,0,5,,,
CHS 76.1 / 2.6,76.1,0,2.6,,,
CHS 76.1 / 3.2,76.1,0,3.2,,,
CHS 76.1 / 4,76.1,0,4,,,
CHS 76.1 / 5,76.1,0,5,,,
CHS 88.9 / 3.2,88.9,0,3.2,,,
CHS 88.9 / 4,88.9,0,4,,,
CHS 88.9 / 5,88.9,0,5,,,
CHS 88.9 / 6.3,88.9,0,6.3,,,
CHS 101.6 / 3.2,101.6,0,3.2,,,
CHS 101.6 / 4,101.6,0,4,,,
CHS 101.6 / 5,101.6,0,5,,,
CHS 101.6 / 6.3,101.6,0,6.3,,,
CHS 101.6 / 8,101.6,0,8,,,
CHS 101.6 / 10,101.6,0,10,,,
CHS 114.3 / 3.2,114.3,0,3.2,,,
CHS 114.3 / 4,114.3,0,4,,,
CHS 114.3 / 5,114.3,0,5,,,
CHS 114.3 / 6.3,114.3,0,6.3,,,
CHS 114.3 / 8,114.3,0,8,,,
CHS 114.3 / 10,114.3,0,10,,,
CHS 139.7 / 4,139.7,0,4,,,
CHS 139.7 / 5,139.7,0,5,,,
CHS 139.7 / 6.3,139.7,0,6.3,,,
CHS 139.7 / 8,139.7,0,8,,,
CHS 139.7 / 10,139.7,0,10,,,
CHS 139.7 / 12.5,139.7,0,12.5,,,
CHS 168.3 / 4,168.3,0,4,,,
CHS 168.3 / 5,168.3,0,5,,,
CHS 168.3 / 6.3,168.3,0,6.3,,,
CHS 168.3 / 8,168.3,0,8,,,
CHS 168.3 / 10,168.3,0,10,,,
CHS 168.3 / 12.5,168.3,0,12.5,,,
CHS 177.8 / 5,177.8,0,5,,,
CHS 177.8 / 6.3,177.8,0,6.3,,,
CHS 177.8 / 8,177.8,0,8,,,
CHS 177.8 / 10,177.8,0,10,,,
CHS 177.8 / 12.5,177.8,0,12.5,,,
CHS 193.7 / 5,193.7,0,5,,,
CHS 193.7 / 6.3,193.7,0,6.3,,,
CHS 193.7 / 8,193.7,0,8,,,
CHS 193.7 / 10,193.7,0,10,,,
CHS 193.7 / 12.5,193.7,0,12.5,,,
CHS 193.7 / 14.2,193.7,0,14.2,,,
CHS 193.7 / 16,193.7,0,16,,,
CHS 219.1 / 5,219.1,0,5,,,
CHS 219.1 / 6.3,219.1,0,6.3,,,
CHS 219.1 / 8,219.1,0,8,,,
CHS 219.1 / 10,219.1,0,10,,,
CHS 219.1 / 12.5,219.1,0,12.5,,,
CHS 219.1 / 14.2,219.1,0,14.2,,,
CHS 219.1 / 16,219.1,0,16,,,
CHS 219.1 / 20,219.1,0,20,,,
CHS 244.5 / 5,244.5,0,5,,,
CHS 244.5 / 6.3,244.5,0,6.3,,,
CHS 244.5 / 8,244.5,0,8,,,
CHS 244.5 / 10,244.5,0,10,,,
CHS 244.5 / 12.5,244.5,0,12.5,,,
CHS 244.5 / 14.2,244.5,0,14.2,,,
CHS 244.5 / 16,244.5,0,16,,,
CHS 244.5 / 20,244.5,0,20,,,
CHS 244.5 / 25,244.5,0,25,,,
CHS 273 / 5,273,0,5,,,
CHS 273 / 6.3,273,0,6.3,,,
CHS 273 / 8,273,0,8,,,
CHS 273 / 10,273,0,10,,,
CHS 273 / 12.5,273,0,12.5,,,
CHS 273 / 14.2,273,0,14.2,,,
CHS 273 / 16,273,0,16,,,
CHS 273 / 20,273,0,20,,,
CHS 273 / 25,273,0,25,,,
CHS 323.9 / 5,323.9,0,5,,,
CHS 323.9 / 6.3,323.9,0,6.3,,,
CHS 323.9 / 8,323.9,0,8,,,
CHS 323.9 / 10,323.9,0,10,,,
CHS 323.9 / 12.5,323.9,0,12.5,,,
CHS 323.9 / 14.2,323.9,0,14.2,,,
CHS 323.9 / 16,323.9,0,16,,,
CHS 323.9 / 20,323.9,0,20,,,
CHS 323.9 / 25,323.9,0,25,,,
CHS 355.6 / 6.3,355.6,0,6.3,,,
CHS 355.6 / 8,355.6,0,8,,,
CHS 355.6 / 10,355.6,0,10,,,
CHS 355.6 / 12.5,355.6,0,12.5,,,
CHS 355.6 / 14.2,355.6,0,14.2,,,
CHS 355.6 / 16,355.6,0,16,,,
CHS 355.6 / 20,355.6,0,20,,,
CHS 355.6 / 25,355.6,0,25,,,
CHS 406.4 / 6.3,406.4,0,6.3,,,
CHS 406.4 / 8,406.4,0,8,,,
CHS 406.4 / 10,406.4,0,10,,,
CHS 406.4 / 12.5,406.4,0,12.5,,,
CHS 406.4 / 14.2,406.4,0,14.2,,,
CHS 406.4 / 16,406.4,0,16,,,
CHS 406.4 / 20,406.4,0,20,,,
CHS 406.4 / 25,406.4,0,25,,,
CHS 406.4 / 30,406.4,0,30,,,
CHS 406.4 / 40,406.4,0,40,,,
CHS 457 / 6.3,457,0,6.3,,,
CHS 457 / 8,457,0,8,,,
CHS 457 / 10,457,0,10,,,
CHS 457 / 12.5,457,0,12.5,,,
CHS 457 / 14.2,457,0,14.2,,,
CHS 457 / 16,457,0,16,,,
CHS 457 / 20,457,0,20,,,
CHS 457 / 25,457,0,25,,,
CHS 457 / 30,457,0,30,,,
CHS 457 / 40,457,0,40,,,
CHS 508 / 6.3,508,0,6.3,,,
CHS 508 / 8,508,0,8,,,
CHS 508 / 10,508,0,10,,,
CHS 508 / 12.5,508,0,12.5,,,
CHS 508 / 14.2,508,0,14.2,,,
CHS 508 / 16,508,0,16,,,
CHS 508 / 20,508,0,20,,,
CHS 508 / 25,508,0,25,,,
CHS 508 / 30,508,0,30,,,
CHS 508 / 40,508,0,40,,,
CHS 508 / 50,508,0,50,,,
CHS 610 / 6.3,610,0,6.3,,,
CHS 610 / 8,610,0,8,,,
CHS 610 / 10,610,0,10,,,
CHS 610 / 12.5,610,0,12.5,,,
CHS 610 / 14.2,610,0,14.2,,,
CHS 610 / 16,610,0,16,,,
CHS 610 / 20,610,0,20,,,
CHS 610 / 25,610,0,25,,,
CHS 610 / 30,610,0,30,,,
CHS 610 / 40,610,0,40,,,
CHS 610 / 50,610,0,50,,,
CHS 711 / 6.3,711,0,6.3,,,
CHS 711 / 8,711,0,8,,,
CHS 711 / 10,711,0,10,,,
CHS 711 / 12.5,711,0,12.5,,,
CHS 711 / 14.2,711,0,14.2,,,
CHS 711 / 16,711,0,16,,,
CHS 711 / 20,711,0,20,,,
CHS 711 / 25,711,0,25,,,
CHS 711 / 30,711,0,30,,,
CHS 711 / 40,711,0,40,,,
CHS 711 / 50,711,0,50,,,
CHS 711 / 60,711,0,60,,,
CHS 762 / 6.3,762,0,6.3,,,
CHS 762 / 8,762,0,8,,,
CHS 762 / 10,762,0,10,,,
CHS 762 / 12.5,762,0,12.5,,,
CHS 762 / 14.2,762,0,14.2,,,
CHS 762 / 16,762,0,16,,,
CHS 762 / 20,762,0,20,,,
CHS 762 / 25,762,0,25,,,
CHS 762 / 30,762,0,30,,,
CHS 762 / 40,762,0,40,,,
CHS 762 / 50,762,0,50,,,
CHS 813 / 8,813,0,8,,,
CHS 813 / 10,813,0,10,,,
CHS 813 / 12.5,813,0,12.5,,,
CHS 813 / 14.2,813,0,14.2,,,
CHS 813 / 16,813,0,16,,,
CHS 813 / 20,813,0,20,,,
CHS 813 / 25,813,0,25,,,
CHS 813 / 30,813,0,30,,,
CHS 914 / 8,914,0,8,,,
CHS 914 / 10,914,0,10,,,
CHS 914 / 12.5,914,0,12.5,,,
CHS 914 / 14.2,914,0,14.2,,,
CHS 914 / 16,914,0,16,,,
CHS 914 / 20,914,0,20,,,
CHS 914 / 25,914,0,25,,,
CHS 914 / 30,914,0,30,,,
CHS 1016 / 8,1016,0,8,,,
CHS 1016 / 10,1016,0,10,,,
CHS 1016 / 12.5,1016,0,12.5,,,
CHS 1016 / 14.2,1016,0,14.2,,,
CHS 1016 / 16,1016,0,16,,,
CHS 1016 / 20,1016,0,20,,,
CHS 1016 / 25,1016,0,25,,,
CHS 1016 / 30,1016,0,30,,,
CHS 1067 / 10,1067,0,10,,,
CHS 1067 / 12.5,1067,0,12.5,,,
CHS 1067 / 14.2,1067,0,14.2,,,
CHS 1067 / 16,1067,0,16,,,
CHS 1067 / 20,1067,0,20,,,
CHS 1067 / 25,1067,0,25,,,
CHS 1067 / 30,1067,0,30,,,
CHS 1168 / 10,1168,0,10,,,
CHS 1168 / 12.5,1168,0,12.5,,,
CHS 1168 / 14.2,1168,0,14.2,,,
CHS 1168 / 16,1168,0,16,,,
CHS 1168 / 20,1168,0,20,,,
CHS 1168 / 25,1168,0,25,,,
CHS 1219 / 10,1219,0,10,,,
CHS 1219 / 12.5,1219,0,12.5,,,
CHS 1219 / 14.2,1219,0,14.2,,,
CHS 1219 / 16,1219,0,16,,,
CHS 1219 / 20,1219,0,20,,,
CHS 1219 / 25,1219,0,25,,,
CEBRAU-100X2,100,50,2,21,,
CEBRAU-100X2.5,100,50,2.5,21,,
CEBRAU-100X3,100,50,2,21,,
CEBRAU-125X2,125,50,2,21,,
CEBRAU-125X2.5,125,50,2,21,,
CEBRAU-125X3,125,50,3,21,,
CEBRAU-150X2,150,50,2,21,,
CEBRAU-150X2.5,150,50,2.5,21,,
CEBRAU-150X3,150,50,3,21,,
CEBRAU-175X2,175,50,2,21,,
CEBRAU-175X2.5,175,50,2.5,21,,
CEBRAU-175X3,175,50,3,21,,
CEBRAU-200X2,200,75,2,21,,
CEBRAU-200X2.5,200,75,2.5,21,,
CEBRAU-200X3,200,75,3,21,,
CEBRAU-200X4,200,75,4,21,,
CEBRAU-225X2,225,75,2,21,,
CEBRAU-225X2.5,225,75,2.5,21,,
CEBRAU-225X3,225,75,3,21,,
CEBRAU-225X4,225,75,4,21,,
CEBRAU-250X2,250,75,2,21,,
CEBRAU-250X2.5,250,75,2.5,21,,
CEBRAU-250X3,250,75,3,21,,
CEBRAU-250X4,250,75,4,21,,
CEBRAU-275X2,275,75,2,21,,
CEBRAU-275X2.5,275,75,2.5,21,,
CEBRAU-275X3,275,75,3,21,,
CEBRAU-275X4,275,75,4,21,,
CEBRAU-300X2,300,75,2,21,,
CEBRAU-300X2.5,300,75,2.5,21,,
CEBRAU-300X3,300,75,3,21,,
CEBRAU-300X4,300,75,4,21,,
CEBRAU-325X2.5,325,75,2.5,21,,
CEBRAU-325X3,325,75,3,21,,
CEBRAU-325X4,325,75,4,21,,
CEBRAU-350X2.5,350,75,2.5,21,,
CEBRAU-350X3,350,75,3,21,,
CEBRAU-350X4,350,75,4,21,,
CEBRAU-375X2.5,375,75,2.5,21,,
CEBRAU-375X3,375,75,3,21,,
CEBRAU-375X4,375,75,4,21,,
CEBRAU-400X3,400,75,3,21,,
CEBRAU-400X4,400,75,4,21,,
ZETABRAU-150X2,150,70,2,2,,
ZETABRAU-150X2.5,150,70,2.5,2.5,,
ZETABRAU-150X3,150,70,3,3,,
ZETABRAU-175X2,175,70,2,2,,
ZETABRAU-175X2.5,175,70,2.5,2.5,,
ZETABRAU-175X3,175,70,3,3,,
ZETABRAU-200X2,200,70,2,2,,
ZETABRAU-200X2.5,200,70,2.5,2.5,,
ZETABRAU-200X3,200,70,3,3,,
ZETABRAU-200X4,200,70,4,4,,
ZETABRAU-225X2,225,70,2,2,,
ZETABRAU-225X2.5,225,70,2.5,2.5,,
ZETABRAU-225X3,225,70,3,3,,
ZETABRAU-225X4,225,70,4,4,,
ZETABRAU-250X2,250,70,2,2,,
ZETABRAU-250X2.5,250,70,2.5,2.5,,
ZETABRAU-250X3,250,70,3,3,,
ZETABRAU-250X4,250,70,4,4,,
ZETABRAU-275X2,275,70,2,2,,
ZETABRAU-275X2.5,275,70,2.5,2.5,,
ZETABRAU-275X3,275,70,3,3,,
ZETABRAU-275X4,275,70,4,4,,
ZETABRAU-300X2,300,70,2,2,,
ZETABRAU-300X2.5,300,70,2.5,2.5,,
ZETABRAU-300X3,300,70,3,3,,
ZETABRAU-300X4,300,70,4,4,,
ZETABRAU-325X2.5,325,70,2.5,2.5,,
ZETABRAU-325X3,325,70,3,3,,
ZETABRAU-325X4,325,70,4,4,,
ZETABRAU-350X2.5,350,70,2.5,2.5,,
ZETABRAU-350X3,350,70,3,3,,
ZETABRAU-350X4,350,70,4,4,,
ZETABRAU-375X2.5,375,70,2.5,2.5,,
ZETABRAU-375X3,375,70,3,3,,
ZETABRAU-375X4,375,70,4,4,,
ZETABRAU-400X3,400,70,3,3,,
ZETABRAU-400X4,400,70,4,4,,
